,Number_topics,Alpha,Beta,Num,UMASS,NPMI
0,6,0.15,0.16666666666666666,1,-0.9934946183605126,0.028476282150990614
1,6,0.5,0.16666666666666666,1,-0.9916898113353486,0.028476282150990614
2,7,0.15,0.14285714285714285,1,-1.3796766730818288,0.02353129318374461
3,7,0.5,0.14285714285714285,1,-1.3795212529251455,0.02393498869556473
4,8,0.15,0.125,1,-1.179642100790081,0.030261108521902606
5,8,0.5,0.125,1,-1.1796473226659645,0.030261108521902606
6,9,0.15,0.1111111111111111,1,-1.3941025478564404,0.030285349970786343
7,9,0.5,0.1111111111111111,1,-1.3296709288250677,0.0321197064654066
8,10,0.15,0.1,1,-1.4155095358097447,0.031164562462866068
9,10,0.5,0.1,1,-1.4089610360071974,0.031164562462866068
10,11,0.15,0.09090909090909091,1,-1.7285403078198998,0.034655160548873354
11,11,0.5,0.09090909090909091,1,-1.7332211309467676,0.034655160548873354
12,12,0.15,0.08333333333333333,1,-1.640927790532487,0.04141082972586383
13,12,0.5,0.08333333333333333,1,-1.6204672858267148,0.041857579145115544
14,13,0.15,0.07692307692307693,1,-1.3819860126236176,0.04316031844598659
15,13,0.5,0.07692307692307693,1,-1.2561353209969441,0.0499771545761692
16,14,0.15,0.07142857142857142,1,-1.257332972418483,0.058786555013930854
17,14,0.5,0.07142857142857142,1,-1.194251576034018,0.06223126859794915
